Product Name,revenue,profit,profit_share,cum_profit_share,rank
Canon imageCLASS 2200 Advanced Copier,61599.83,25199.94,0.08798933008116548,0.08798933008116548,1
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,7753.0599999999995,0.02707095951335919,0.11506028959452468,2
Hewlett Packard LaserJet 3310 Copier,18839.68,6983.89,0.024385288316581342,0.139445577911106,3
Canon PC1060 Personal Laser Copier,11619.830000000002,4570.94,0.01596011531936991,0.15540569323047593,4
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9,4094.9799999999996,0.01429823034879333,0.16970392357926925,5
Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.95,0.013173814815818342,0.18287773839508759,6
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9700000000003,0.012981843987004367,0.19585958238209195,7
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,3696.2799999999997,0.012906110133294377,0.20876569251538632,8
Ibico EPK-21 Electric Binding System,15875.92,3345.2899999999995,0.01168057646277023,0.22044626897815656,9
Zebra ZM400 Thermal Label Printer,6965.700000000001,3343.5299999999997,0.01167443116159321,0.23212070013974978,10
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02,0.011337452174891922,0.2434581523146417,11
Hewlett Packard 610 Color Digital Copier / Printer,8899.82,3124.94,0.010911191738704031,0.25436934405334577,12
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.04,0.010771874967702254,0.26514121902104804,13
Canon Imageclass D680 Copier / Fax,8959.869999999999,2799.9700000000003,0.009776510759444702,0.2749177297804927,14
Fellowes PB300 Plastic Comb Binding Machine,8070.2,2518.06,0.008792180160118618,0.28370990994061135,15
Ibico Ibimaster 300 Manual Binding System,7985.38,2318.34,0.00809482814246261,0.29180473808307394,16
Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,2243.9300000000003,0.007835014585313682,0.2996397526683876,17
GBC DocuBind TL300 Electric Binding System,19823.48,2233.5,0.007798596692543042,0.3074383493609306,18
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74,2155.9,0.007527644777010766,0.3149659941379414,19
Canon PC940 Copier,5669.88,2092.46,0.007306134602766337,0.32227212874070776,20
Sharp AL-1530CS Digital Copier,6399.88,2064.96,0.007210114271875389,0.32948224301258316,21
"Hot File 7-Pocket, Floor Stand",8138.24,2016.7,0.007041607320282764,0.3365238503328659,22
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,1995.99,0.006969295282000889,0.3434931456148668,23
Canon PC1080F Personal Copier,5999.9,1973.97,0.00689240918432021,0.35038555479918704,24
Adjustable Depth Letter/Legal Cart,7730.1900000000005,1932.54,0.006747750191272501,0.35713330499045953,25
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,1927.4499999999998,0.006729977700936684,0.36386328269139623,26
Samsung Galaxy Mega 6.3,13943.669999999998,1822.75,0.006364402113871874,0.3702276848052681,27
Canon Image Class D660 Copier,3959.93,1691.97,0.005907764336638483,0.37613544914190655,28
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,1668.21,0.005824802770748703,0.38196025191265526,29
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,1653.83,0.005774592866813727,0.38773484477946896,30
Sharp 1540cs Digital Laser Copier,4399.91,1649.98,0.005761150020488994,0.39349599479995795,31
Logitech P710e Mobile Speakerphone,10196.61,1645.39,0.005745123354351196,0.3992411181543091,32
"Dual Level, Single-Width Filing Carts",6574.54,1640.54,0.005728188859630428,0.4049693070139396,33
Apple iPhone 5,12996.6,1611.58,0.005627070722081269,0.41059637773602087,34
GBC DocuBind TL200 Manual Binding Machine,4322.8099999999995,1592.48,0.005560380237717011,0.41615675797373786,35
Tennsco 6- and 18-Compartment Lockers,10925.0,1575.09,0.005499660472109971,0.42165641844584784,36
Global Deluxe High-Back Manager's Chair,8665.21,1558.59,0.005442048273575402,0.42709846671942325,37
Hon Pagoda Stacking Chairs,6483.79,1540.7,0.005379582683770345,0.4324780494031936,38
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.87,1517.91,0.005300008016824719,0.43777805742001835,39
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.1800000000003,1503.52,0.0052497631964057824,0.44302782061642415,40
Canon PC-428 Personal Copier,4119.8,1469.92,0.005132443810299024,0.4481602644267232,41
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,1459.2,0.005095013339493534,0.4532552777662167,42
Logitech diNovo Edge Keyboard,7399.7,1432.45,0.005001611744899611,0.4582568895111163,43
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.0,1388.65,0.0048486775451533,0.4631055670562696,44
Iceberg Mobile Mega Data/Printer Cart,5751.77,1388.6100000000001,0.004848537879217459,0.46795410493548706,45
Deluxe Rollaway Locking File with Drawer,5572.79,1380.72,0.004820988773372746,0.4727750937088598,46
Bady BDG101FRU Card Printer,9279.89,1327.99,0.0046368741534498475,0.4774119678623096,47
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.66,0.004558905644766398,0.481970873507076,48
Hon Olson Stacker Chairs,5427.99,1292.12,0.00451162872548409,0.4864825022325601,49
Xerox 1915,2789.0099999999998,1262.4,0.0044078569351539455,0.49089035916771406,50
