session_id,player_id,session_date,session_length_min,levels_completed
S0000001,P00001,2025-10-12,5,1
S0000002,P00001,2025-10-14,35,2
S0000003,P00001,2025-10-17,5,0
S0000004,P00001,2025-10-17,7,0
S0000005,P00001,2025-10-17,8,1
S0000006,P00001,2025-10-24,11,2
S0000007,P00002,2025-10-10,50,3
S0000008,P00002,2025-10-11,44,2
S0000009,P00002,2025-10-13,30,2
S0000010,P00002,2025-10-14,43,4
S0000011,P00002,2025-10-17,50,4
S0000012,P00002,2025-10-18,61,4
S0000013,P00002,2025-10-18,44,2
S0000014,P00002,2025-10-20,37,2
S0000015,P00002,2025-10-21,42,4
S0000016,P00003,2025-12-11,22,0
S0000017,P00003,2025-12-16,10,0
S0000018,P00003,2025-12-27,20,0
S0000019,P00003,2026-01-01,15,2
S0000020,P00004,2025-10-07,41,4
S0000021,P00004,2025-10-08,53,4
S0000022,P00004,2025-10-11,51,6
S0000023,P00004,2025-10-13,50,5
S0000024,P00004,2025-10-22,44,3
S0000025,P00004,2025-10-23,35,3
S0000026,P00004,2025-10-29,47,4
S0000027,P00004,2025-11-04,37,3
S0000028,P00004,2025-11-04,52,2
S0000029,P00004,2025-11-14,42,4
S0000030,P00005,2025-11-08,76,5
S0000031,P00005,2025-11-10,68,6
S0000032,P00005,2025-11-10,47,5
S0000033,P00005,2025-11-11,57,6
S0000034,P00005,2025-11-12,53,4
S0000035,P00005,2025-11-15,46,6
S0000036,P00005,2025-11-22,42,3
S0000037,P00005,2025-11-22,60,7
S0000038,P00005,2025-11-24,78,7
S0000039,P00005,2025-11-25,55,5
S0000040,P00005,2025-11-27,52,5
S0000041,P00006,2025-11-05,32,3
S0000042,P00006,2025-11-06,28,2
S0000043,P00006,2025-11-08,28,3
S0000044,P00006,2025-11-11,35,2
S0000045,P00006,2025-11-15,41,4
S0000046,P00007,2025-11-15,59,4
S0000047,P00007,2025-11-16,48,4
S0000048,P00007,2025-11-16,65,4
S0000049,P00007,2025-11-17,60,6
S0000050,P00007,2025-11-18,43,5
S0000051,P00007,2025-11-19,42,4
S0000052,P00007,2025-11-20,60,5
S0000053,P00007,2025-11-23,49,4
S0000054,P00007,2025-11-23,51,3
S0000055,P00007,2025-11-28,76,4
S0000056,P00008,2026-01-03,18,2
S0000057,P00008,2026-01-04,21,2
S0000058,P00008,2026-01-04,39,4
S0000059,P00008,2026-01-09,35,2
S0000060,P00008,2026-01-29,39,3
S0000061,P00009,2025-10-15,35,1
S0000062,P00009,2025-10-16,42,3
S0000063,P00009,2025-10-18,36,3
S0000064,P00009,2025-10-20,57,4
S0000065,P00009,2025-10-24,63,6
S0000066,P00009,2025-10-24,39,4
S0000067,P00009,2025-10-25,52,4
S0000068,P00009,2025-10-25,29,4
S0000069,P00009,2025-11-04,30,1
S0000070,P00009,2025-11-11,53,1
S0000071,P00009,2025-11-13,60,6
S0000072,P00009,2025-11-13,60,5
S0000073,P00009,2025-12-08,40,5
S0000074,P00009,2025-12-08,63,6
S0000075,P00010,2026-01-19,31,1
S0000076,P00010,2026-01-26,36,3
S0000077,P00011,2026-01-03,34,3
S0000078,P00011,2026-01-04,41,6
S0000079,P00011,2026-01-06,26,3
S0000080,P00012,2025-10-06,38,4
S0000081,P00012,2025-10-06,39,3
S0000082,P00012,2025-10-12,21,2
S0000083,P00013,2025-10-26,15,3
S0000084,P00013,2025-11-05,18,2
S0000085,P00013,2025-11-23,17,1
S0000086,P00014,2025-10-21,29,4
S0000087,P00014,2025-10-22,22,0
S0000088,P00014,2025-10-22,34,4
S0000089,P00014,2025-10-23,31,4
S0000090,P00014,2025-10-24,24,4
S0000091,P00014,2025-11-01,26,1
S0000092,P00014,2025-11-01,18,1
S0000093,P00014,2025-11-18,26,1
S0000094,P00014,2025-11-18,20,0
S0000095,P00014,2025-11-30,42,3
S0000096,P00015,2025-12-06,27,2
S0000097,P00015,2025-12-07,21,2
S0000098,P00015,2025-12-09,25,4
S0000099,P00015,2025-12-11,23,2
S0000100,P00015,2025-12-13,21,3
S0000101,P00015,2025-12-19,25,3
S0000102,P00015,2025-12-19,16,2
S0000103,P00015,2025-12-23,23,1
S0000104,P00015,2025-12-25,11,0
S0000105,P00015,2025-12-30,13,1
S0000106,P00016,2025-12-08,54,6
S0000107,P00016,2025-12-08,29,2
S0000108,P00016,2025-12-09,65,6
S0000109,P00016,2025-12-15,39,6
S0000110,P00016,2025-12-23,25,1
S0000111,P00016,2025-12-23,54,4
S0000112,P00016,2026-01-02,44,3
S0000113,P00016,2026-01-02,39,2
S0000114,P00016,2026-01-02,43,4
S0000115,P00016,2026-01-07,26,0
S0000116,P00016,2026-01-13,24,2
S0000117,P00017,2025-11-09,35,4
S0000118,P00017,2025-11-14,24,2
S0000119,P00017,2025-11-15,29,1
S0000120,P00017,2025-11-18,23,0
S0000121,P00017,2025-11-20,18,0
S0000122,P00017,2025-11-27,14,1
S0000123,P00017,2025-12-02,28,3
S0000124,P00017,2025-12-06,22,2
S0000125,P00017,2025-12-06,32,4
S0000126,P00017,2025-12-15,30,3
S0000127,P00017,2025-12-15,41,3
S0000128,P00018,2025-10-26,39,0
S0000129,P00018,2025-10-27,46,4
S0000130,P00018,2025-10-30,47,4
S0000131,P00018,2025-11-01,58,2
S0000132,P00018,2025-11-07,39,4
S0000133,P00018,2025-11-13,42,4
S0000134,P00018,2025-11-23,50,4
S0000135,P00019,2025-10-26,59,3
S0000136,P00019,2025-11-08,34,4
S0000137,P00019,2025-11-09,46,3
S0000138,P00019,2025-11-14,46,5
S0000139,P00020,2025-12-09,28,0
S0000140,P00020,2025-12-10,55,3
S0000141,P00020,2025-12-10,41,5
S0000142,P00020,2025-12-10,38,3
S0000143,P00020,2025-12-11,63,6
S0000144,P00020,2025-12-12,37,1
S0000145,P00020,2025-12-15,59,5
S0000146,P00020,2025-12-17,34,2
S0000147,P00021,2025-11-24,25,1
S0000148,P00021,2025-12-11,20,2
S0000149,P00022,2025-12-08,64,7
S0000150,P00022,2025-12-09,69,5
S0000151,P00022,2025-12-18,52,7
S0000152,P00022,2025-12-19,45,5
S0000153,P00022,2025-12-21,76,5
S0000154,P00022,2025-12-23,64,7
S0000155,P00022,2025-12-26,70,6
S0000156,P00022,2025-12-27,71,7
S0000157,P00022,2025-12-29,76,9
S0000158,P00022,2026-01-01,63,5
S0000159,P00023,2025-10-26,23,2
S0000160,P00024,2025-12-15,35,3
S0000161,P00024,2025-12-21,44,3
